key,groupName,memberCount,groupType,colorGapSeverity,missingColors,note
redbud,Redbud,10,species-or-form-types,none,,"The 10 members are Cercis cultivars differentiated by FOLIAGE and habit (purple-leaf 'Forest Pansy', gold 'Rising Sun', weeping 'Ruby Falls'), not by bloom color. Redbud flowers are genuinely only magenta-pink through pink with a white ('Alba') form, so the flower range is already complete."
rex-begonia,Rex Begonia,6,species-or-form-types,none,,"Foliage plant: rex begonias are grown for patterned leaves, not flowers, so the empty flower-color set is correct. Members are distinct foliage cultivars/forms. Flower-color coverage is not the shopping axis here."
rose-of-sharon,Rose of Sharon,13,color-variants,none,,"Hibiscus syriacus cultivars in different colors (some also single vs double form). Blue/lavender, magenta, pink, purple, and white are the true rose-of-Sharon range; there is no genuine yellow or true red in this species, so the palette is effectively complete."
scaevola,Fan Flower,4,color-variants,none,,"Scaevola aemula color variants. Blue/purple, pink, white is the full realistic fan-flower range; violet is covered by blue. Complete."
scilla,Scilla,6,species-or-form-types,none,,"Different squill species/forms (S. siberica, its 'Alba' white form, S. mischtschenkoana, S. peruviana). Scilla is fundamentally a blue bulb with a white variant; blue plus white covers essentially the whole realistic range (violet reads within blue; pink forms are rare)."
serviceberry,Serviceberry,7,species-or-form-types,none,,"The 7 members are Amelanchier species/cultivars (canadensis, laevis, x grandiflora 'Autumn Brilliance', alnifolia) differing by size, habit, and fall color, not flower color. Serviceberry bloom is uniformly white, so white is the complete range."
shasta-daisy,Shasta Daisy,7,species-or-form-types,none,,"Leucanthemum x superbum cultivars differentiated mainly by flower FORM (single 'Becky', double 'Wirral Supreme', frilly, quilled) with a few soft-yellow selections ('Banana Cream', 'Broadway Lights'). White plus pale yellow is the complete shasta-daisy range."
smokebush,Smokebush,7,species-or-form-types,none,,"Cotinus cultivars chosen for FOLIAGE (purple 'Royal Purple'/'Grace' vs gold 'Golden Spirit' vs green) plus the smoky flower plumes. The plume colors (magenta-pink, pale orange, pale red, pink) reasonably span the hazy 'smoke' range; flower color is not the real selection axis, so no meaningful gap."
snowdrop,Snowdrop,6,species-or-form-types,none,,"Galanthus species/cultivars (nivalis, elwesii, double 'Flore Pleno') differing by size and form. Snowdrops are always white with green markings, so white is the complete and only realistic color."
snowflake,Snowflake,4,species-or-form-types,none,,Leucojum species/forms (spring L. vernum vs summer L. aestivum) differing by season/size. Uniformly white with green-yellow tips; white is the complete range.
spirea,Spirea,11,species-or-form-types,none,,"Two distinct forms grouped: white bridal-wreath spireas (S. x vanhouttei, prunifolia, nipponica) and pink/rose Japanese spireas (S. japonica 'Anthony Waterer', 'Magic Carpet'). White plus pink/rose is the genuine spirea flower range (the deepest japonicas read as carmine-rose, still within pink)."
spruce,Spruce,10,species-or-form-types,none,,"Conifer: the 10 members are Picea species/forms selected for foliage color and habit (blue spruce, Norway, dwarf Alberta, weeping). No flowers, so the empty color set is correct and flower-color coverage does not apply."
statice,Statice,6,color-variants,none,,"Limonium sinuatum color strains, the classic dried flower. Blue/purple, orange/apricot, pink, white, and yellow give a strong spread across the real statice range (lavender/violet reads within blue). No shopper-relevant gap."
stock,Stock,7,color-variants,none,,"Matthiola color forms of the fragrant spring annual. Magenta, pale yellow/cream, pink, purple/lavender, red, and white cover the full stock palette comprehensively."
strawflower,Strawflower,7,color-variants,none,,"Xerochrysum/Helichrysum bracteatum color forms. Orange, pink, purple, red, white, and yellow span the warm-and-bright strawflower range thoroughly; no meaningful gap."
summersweet,Summersweet,7,color-variants,none,,"Clethra alnifolia cultivars only occur in white and blush-pink ('Ruby Spice'/'Hummingbird'); both present, so the range is complete."
sunflower,Sunflower,12,color-variants,none,,"Annual Helianthus cultivars in yellow, pale-yellow, orange and red - the core garden range; cream/white types are niche and mahogany bicolors read as red."
sweet-alyssum,Sweet Alyssum,6,color-variants,none,,"White, purple, pink and apricot(orange) span essentially the full Lobularia palette."
sweet-pea,Sweet Pea,6,color-variants,none,,"Red, pink, purple, blue and white cover the classic Lathyrus odoratus range (cream reads within white)."
sweet-potato-vine,Sweet Potato Vine,5,color-variants,none,,"Ipomoea batatas is grown for FOLIAGE (lime/chartreuse, near-black, bronze, variegated), not flowers; the empty flower-color list is correct, and members are distinct leaf-color selections."
switchgrass,Switchgrass,4,color-variants,none,,"Panicum virgatum cultivars differ in foliage/form; the orange/red are fall foliage tones, not blooms - flower color is not the axis for an ornamental grass."
torenia,Wishbone Flower,6,color-variants,none,,"Blue/violet, purple-magenta, pink, white and yellow span the Torenia fournieri range, typically with bicolor throats."
tropical-hibiscus,Tropical Hibiscus,12,color-variants,none,,"Hibiscus rosa-sinensis spans a full warm-to-white rainbow (red, orange, yellow, pink, magenta, purple, white); excellent coverage."
trumpet-vine,Trumpet Vine,4,color-variants,none,,"Orange, red and yellow ('Flava') are the entire Campsis color range."
tuberous-begonia,Tuberous Begonia,6,color-variants,none,,"Warm colors (red, orange, yellow, pink, apricot) plus white span the tuberhybrida range; no blue or purple exists in this plant."
tulips,Tulips,18,color-variants,none,,"Very broad color span (red, yellow, orange, pink, purple, white plus near-black purple and green/parrot novelties) across many flower forms; color is thoroughly covered."
verbena,Verbena,12,mixed,none,,"Mix of trailing annual hybrids and species like V. bonariensis and V. rigida; colors well spread across red, pink, magenta, purple, blue and white."
veronica,Veronica,11,color-variants,none,,"Spike speedwell only comes in blue/violet, purple, pink and white - all present; it does not occur in red/orange/yellow, so the range is complete."
viburnum,Viburnum,7,species-or-form-types,none,,"Seven distinct species grouped by genus (snowball, doublefile, Koreanspice, arrowwood, etc.); viburnums are essentially white-flowered (a few open from pink buds), so all-white is botanically accurate, not a shopper gap - they differ by form, fragrance, fruit and fall color, not flower hue."
vinca,Vinca,7,color-variants,none,,"Annual vinca (Catharanthus roseus) in white, pink, red, purple and apricot(orange), often with contrasting eyes - covers the range well."
weigela,Weigela,14,mixed,none,,"Flower colors pink, red and white cover the Weigela florida flower range; several members are dark-leaf or variegated foliage forms, but no additional flower colors are missing."
winterberry,Winterberry,6,color-variants,none,,Ilex verticillata is grown for BERRIES not flowers; red plus orange berry cultivars meet shopper expectation (gold-berried 'Winter Gold' is niche). Members are berry-color/pollinator selections of one species.
wisteria,Wisteria,5,mixed,none,,"Chinese, Japanese and American species; purple/violet, blue-purple, pink ('Rosea') and white ('Alba') cover the full flower range."
witch-hazel,Witch Hazel,6,mixed,none,,"Species and x intermedia hybrids in yellow, orange ('Jelena') and red ('Diane') - the complete Hamamelis range."
yarrow,Yarrow,12,color-variants,none,,"White, yellow, red, pink and orange span the modern Achillea hybrid palette (magenta/lilac forms read within pink/red)."
zinnias,Zinnias,14,color-variants,none,,"Full rainbow including lime-green ('Envy'); Zinnia does not produce true blue/purple, so coverage is essentially complete."
