slug,name,botanical,genus,category,storedColor,candidateTrueColors,finalVerdict,confidence,shopperRelevance,colorAffectsSizeOrCare,notes
spiderwort,Spiderwort,Tradescantia,Tradescantia,Perennial,blue,violet-purple; blue; magenta-rose; pink; white,clearly-multi,0.85,medium,YES,"Hardy garden spiderwort (Tradescantia virginiana / x andersoniana) sells in blue, violet-purple, magenta-rose, pink, and white ('Innocence'), so it is clearly multicolor with blue a fair default. Separately the purple trailing Tradescantia (T. pallida 'Purple Heart', T. zebrina) is a tender foliage plant of very different size and care shelved under the same genus and common name. | The purple 'spiderwort' many shoppers see (Tradescantia pallida 'Purple Heart', also T. zebrina) is a tender, trailing foliage plant grown as a houseplant or annual, with very different mature size and care from the hardy upright perennial garden spiderwort. A purple/trailing form likely warrants its own catalog entry rather than a color swatch on the perennial. | This verdict applies ONLY to the hardy garden spiderwort (Tradescantia virginiana / T. x andersoniana, Andersoniana Group), which the ""Perennial"" category correctly selects. That group is genuinely and commonly sold in blue, violet-purple, magenta/rosy-red, pink, and white via mainstream named cultivars ('Zwanenburg Blue', 'Concord Grape', 'Red Grape', 'Pauline', 'Innocence', 'Osprey') found at ordinary garden centers, so the multi-color claim holds up under skeptical review. Two cautions: (1) genus-confusion risk - the same genus and common name also cover the TENDER FOLIAGE plants (T. pallida 'Purple Heart', T. zebrina, T. fluminensis) grown for leaves with small insignificant flowers; those must never be merged into this perennial entry. (2) Blue is a fair default but borderline - most ""blue"" spiderworts are actually blue-violet; true clear sky-blue is less common than violet-purple in cultivation, so violet-purple is arguably the more representative primary."
thyme,Thyme,Thymus,Thymus,Herb,magenta/pink,magenta/pink; white; purple/lavender; pink,clearly-multi,0.85,medium,YES,"The genus spans pale-lilac culinary thyme and creeping thymes offered in magenta, pink, red and white; groundcover buyers genuinely pick creeping thyme by flower color. The stored magenta/pink is the creeping-thyme form. | Thymus splits into two garden plants sold under one name: upright culinary thyme (T. vulgaris), a ~12in shrublet with pale lilac flowers grown for leaves, versus mat-forming creeping thyme (T. serpyllum/praecox), a 2-5in groundcover whose signature magenta/pink/red ('Coccineus') and white ('Albus') color IS the stored value. A magenta thyme is almost certainly the trailing groundcover, a different mature size, habit and use than the upright herb, so it arguably warrants its own catalog entry rather than a color note. | Multi-color is real but comes entirely from ORNAMENTAL creeping thymes (T. serpyllum / praecox), sold as flowering groundcover chosen by color: white ('Albus'), pink ('Pink Chintz'), magenta ('Coccineus'), and the wild purple/lavender form. Two corrections to the first pass: (1) 'Coccineus', marketed as 'Red Creeping Thyme', is actually a deep magenta-pink, not a true red/crimson, so 'red' overstates it; the stored magenta/pink is in fact the most defensible default. (2) Culinary thyme (T. vulgaris) is near-monochrome pale lilac-pink and grown for foliage, so the confirmation depends on 'Thyme' covering the ornamental creeping thymes garden centers stock."
ice-plant,Ice Plant,Delosperma,Delosperma,Perennial,pink,pink; yellow; purple; white; orange; red; bicolor,clearly-multi,0.83,medium,YES,"Delosperma spans magenta-pink (D. cooperi), yellow (D. nubigenum), white, orange, red, purple and bicolor hybrid series - a popular multicolor groundcover succulent. Pink is a fair default for the classic form, but the yellow form is a genuinely distinct, hardier, flatter species. | Yellow 'ice plant' is usually a different species (Delosperma nubigenum / congestum): a much flatter, tighter mat that is notably hardier (roughly USDA zone 4) than the taller, wider-spreading, less cold-hardy magenta-pink D. cooperi. That yellow form arguably deserves its own catalog entry rather than just a color note; the many hybrid-series colors (Wheels of Wonder / Jewel of Desert) share D. cooperi-like habit. | Confirmed, not refuted. Hardy Delosperma is genuinely sold in many distinct flower colors at ordinary garden centers, driven by two mass-market breeding series (Wheels of Wonder: Golden/yellow, Hot Pink, Violet, Fire/bicolor; Jewel of Desert: Garnet/red, Topaz/yellow, Moonstone/white, Amethyst/purple, Sunstone/orange) plus the popular 'Fire Spinner' orange-magenta bicolor. The classic D. cooperi is magenta/pink (stored pink is a fair default) and yellow is a separate hardier species (D. nubigenum/congestum). Two cautions worth noting, though neither refutes the verdict: (1) 'Ice plant' is an ambiguous common name also used for Lampranthus, Carpobrotus (pigface), and Dorotheanthus (Livingstone daisy) - this verdict applies specifically to Delosperma as tagged; (2) many Delosperma flowers are pattern-heavy (glossy petals with contrasting white/yellow eyes), so 'bicolor' here is a real petal-and-center pattern rather than a solid hue."
globeflower,Globeflower,Trollius,Trollius,Perennial,yellow,yellow; orange; cream,clearly-multi,0.82,medium,,"Trollius (x cultorum, chinensis) ranges from lemon-cream ('Alabaster') through gold to clear orange ('Orange Princess', 'Etna'). The palette is warm-toned but yellow versus orange is a real, commonly offered choice at garden centers. | The whole range is warm-toned and continuous (pale cream/primrose -> lemon yellow -> gold -> clear orange); there is NO red, pink, true white, or any cool color, so ""multi-color"" is real but narrow. The distinct, defensible choices a home gardener actually makes are yellow (T. x cultorum 'Lemon Queen', T. europaeus), orange (T. chinensis / 'Orange Princess', 'Etna'), and cream/ivory ('Alabaster'). I dropped ""gold"" as a listed color because it over-splits the same yellow-orange axis. Key confusion to avoid: do not conflate Trollius with Ranunculus (Persian buttercup), a separate Ranunculaceae genus that genuinely comes in the full rainbow, nor with Caltha (marsh marigold), which is yellow-only. Cream forms are slightly less ubiquitous than the standard yellow and orange but still commonly sold."
meadow-rue,Meadow Rue,Thalictrum,Thalictrum,Perennial,purple,purple; white; yellow,clearly-multi,0.82,medium,,"Thalictrum spans lavender/purple (T. delavayi, T. rochebrunianum), white ('Album' forms), pink (T. aquilegifolium) and clear yellow (T. flavum/lucidum); purple is the most common garden form and a fair default, but real color range exists at nurseries. | The multi-color range is real but genus-level, not a single-species color series: purple/lavender comes from T. delavayi and T. rochebrunianum, white from 'Album' forms, and yellow from a different species (T. flavum / T. lucidum). Buying one species gets you one color, so a gardener assembles the range by choosing species. I dropped the first pass's ""pink""  -  it derives from T. aquilegifolium, whose flowers are really mauve/lilac/rosy-purple and fold into the purple bucket rather than reading as a distinct pink. Availability is solid at good perennial/mail-order nurseries and better independent garden centers, though not guaranteed on every big-box shelf, and the yellow T. flavum glaucum is partly a foliage plant (still flowers genuinely)."
obedient-plant,Obedient Plant,Physostegia,Physostegia,Perennial,pink,pink; white,clearly-multi,0.82,medium,,"Physostegia virginiana is sold in rose-pink ('Vivid') and white ('Miss Manners', 'Crown of Snow') - essentially a two-color palette. Pink is the most common and a fair default. | Confirmed, not refuted. The repo's own deep-intel (src/garden/intel/deepIntel/obedient-plant.json) describes Physostegia virginiana flowers as ""pink to pale lilac (also rose or white)"" and names two mainstream, widely sold nativars from the same selection line: 'Miss Manners' (white) and 'Pink Manners' (pink). White is not a rare collector form here; the white 'Miss Manners' / 'Crown of Snow' / 'Summer Snow' selections are among the most commonly recommended obedient plants because they are compact and non-aggressive. So pink and white are both genuinely garden-center common. Two nuances: (1) pale lilac/lavender is a shade within the pink range, not a distinct third color, so I would not add it separately; (2) the alternate name ""false dragonhead"" flags a historical grouping with Dracocephalum (dragonhead) and it can be visually confused with turtlehead (Chelone) or Salvia, but the pink/white palette is correct for Physostegia itself. Pink is a fair default; adding white completes the honest two-color palette."
sea-thrift,Sea Thrift,Armeria maritima,Armeria,Perennial,pink,pink; white; rose-red,clearly-multi,0.82,medium,,"Armeria maritima is predominantly pink, but white ('Alba', 'Cotton Tail') and deep rose/red ('Splendens', 'Dusseldorf Pride') selections are commonly offered as rock-garden/edging plants, so a shopper does encounter a real pink-white-rose choice. Pink is the fair default. ('Rubrifolia' adds bronze foliage but similar size.) | Confirmed multi-color, but with two honest caveats. (1) Confusion risk: the most colorful thrift display a shopper sees is often the 'Ballerina' series (White/Red/Lilac), which is Armeria PSEUDARMERIA (False/Great Thrift), a different species, not A. maritima. Even excluding it, A. maritima proper still holds up: 'Alba'/'Cotton Tail' = white, and 'Splendens'/'Düsseldorf Pride'/'Bloodstone' = deep rose to near-red, all listed as commonly garden-center-available. (2) The first pass's 'deep rose' and 'rose-red' are effectively one deeper-than-default swatch, so I collapsed them to a single 'rose-red'; the genuine distinct choice a gardener faces is pink (default) vs white vs a deeper rose/red. 'Rubrifolia' is a foliage form (bronze leaves, ordinary pink flowers), correctly not counted as a flower color. Lavender/lilac is sometimes cited but leans toward pseudarmeria territory, so I left it out."
aloe,Aloe,Aloe,Aloe,Perennial,orange,orange; red; coral; yellow,clearly-multi,0.8,medium,,"Aloe flower spikes are typically orange but the genus also blooms red, yellow and coral, and ornamental winter-blooming hybrids are bred and sold for those spikes; note that the ubiquitous Aloe vera is bought for foliage and blooms only a plain yellow when mature. | This is a genus-level entry (~500-600 species), so the multi-color range comes from different species/cultivars, not one plant sold in a chosen color: coral aloe (A. striata) is coral, torch aloe (A. arborescens) is red-orange, Aloe vera blooms yellow, and winter-blooming ornamental hybrids ('Safari Sunrise', 'Tangerine', 'Blue Elf') span red/orange/coral/yellow bicolors. Availability is climate-gated: flowering ornamental aloes are mainstream at garden centers in warm zones 9-11, but in cold climates the only aloe most people own is Aloe vera, a foliage houseplant that blooms plain yellow only when mature and rarely indoors. Do not confuse with monocarpic Agave or the split-off climbing Aloiampelos (e.g. A. striatula, yellow). Stored 'orange' is the modal color but undersells the genus."
monkshood,Monkshood,Aconitum,Aconitum,Perennial,blue,blue; purple; white; blue-and-white bicolor,clearly-multi,0.78,medium,,"Aconitum is iconically deep blue-purple (A. napellus, A. carmichaelii), so blue is a fair default, but garden centers also carry white and blue-and-white bicolor (A. x cammarum 'Bicolor'), pink ('Pink Sensation'), and a yellow species (A. lycoctonum). Non-blue forms are genuine but only moderately available. | Multi-color is defensible but narrower than the first pass claimed. Blue/violet-purple is the overwhelming default (A. napellus, A. carmichaelii). The genuinely-available non-blue forms are WHITE (A. napellus 'Album', A. septentrionale 'Ivorine') and the BLUE-AND-WHITE BICOLOR (A. x cammarum 'Bicolor', an RHS AGM cultivar and one of the most widely sold Aconitums)  -  these are real trade cultivars, not collector rarities. I REJECT two of the first pass's colors: (1) PINK ('Pink Sensation') is a real cultivar but only spottily stocked, not something an ordinary gardener reliably encounters; (2) YELLOW is A. lycoctonum/vulparia (yellow wolfsbane)  -  a DISTINCT species most shoppers never meet labeled as 'monkshood', so it is the classic genus-vs-relative trap and should not count toward this plant's color range. Note that 'purple' and 'blue' overlap heavily here (many napellus forms read more violet than true blue). This is a genuine flower-color case, not a foliage plant, and the genus is not monochrome in cultivation  -  but blue dominates and the diversity leans toward proper perennial nurseries over big-box retail."
turtlehead,Turtlehead,Chelone,Chelone,Perennial,pink,pink; white,clearly-multi,0.75,medium,,"The ornamental C. lyonii/obliqua ('Hot Lips') are rose-pink, but C. glabra (white turtlehead) is genuinely white and widely sold as a native/pollinator plant. Effectively a two-color genus, pink and white; pink is the fair default for the ornamental form. | The two colors come from two different species, not one variable species. Pink is the dominant ornamental form (Chelone lyonii 'Hot Lips', C. obliqua) that a typical shopper gets on the perennial shelf; white is C. glabra, sold widely but more through the native/pollinator channel than big-box ornamental shelves. Both are genuine, common, and distinct (white is not a rare collector form), so pink+white is defensible at the genus level. Keep pink as the stored default. Do not confuse Chelone with Physostegia (obedient plant), a separate pink/white/purple genus, when tallying colors."
jacobs-ladder,Jacob's Ladder,Polemonium,Polemonium,Perennial,blue,blue; white; pink/apricot,clearly-multi,0.72,medium,,"Polemonium caeruleum is dominantly lavender-blue, with white ('Album') and pink-apricot ('Apricot Delight') cultivars in trade. Note several popular cultivars ('Stairway to Heaven', 'Brise d'Anjou') are bought mainly for variegated foliage, with the blue flower secondary. Blue is a fair default. | Blue heavily dominates and is the correct default. The genuinely common, defensible second flower color is white ('Album'), a true P. caeruleum cultivar stocked at ordinary nurseries. Pink/apricot ('Apricot Delight') is real but weaker on two counts: it is largely Polemonium CARNEUM, a different (California) species rather than P. caeruleum (a genus-vs-relative confusion risk), and its availability is specialty/mail-order and spotty (one major supplier lists it unavailable for 2026), not routine garden-center stock. Separately, watch a counting trap: much of the popular Polemonium shelf presence ('Brise d'Anjou', 'Stairway to Heaven', 'Snow and Sapphires', 'Bressingham Purple') is grown for VARIEGATED FOLIAGE and all carry blue flowers, so that variety is foliage, not flower color. Realistically a blue-plus-white plant for the average gardener, with pink/apricot a less-common third."
ligularia,Ligularia,Ligularia,Ligularia,Perennial,yellow,yellow; orange,clearly-multi,0.6,medium,YES,"Ligularia flowers run yellow to orange-yellow; the deeper-orange dentata daisies and the bright-yellow rocket spikes are both common in the trade, and that color distinction loosely tracks two very different plant sizes and forms. | Flower color roughly tracks two different plants both sold as 'Ligularia': the orange-yellow daisy types (L. dentata, e.g. 'Britt-Marie Crawford', 'Desdemona') are mounding ~3-4 ft with bold rounded, often dark-purple leaves, whereas the bright-yellow spike types (L. przewalskii / stenocephala 'The Rocket') reach 5-6 ft with deeply cut leaves. The orange-vs-yellow split maps loosely onto a genuinely different mature size and form, so these arguably deserve separate catalog entries rather than one color note. | Ligularia is a warm-tone-only genus (Asteraceae): every species in cultivation flowers somewhere between clear yellow and orange, with NO white, pink, red, purple, or blue anywhere, so it is nowhere near a true multi-color genus. The multi-color claim rests entirely on one real, commonly-sold split: the ""rocket"" species (L. przewalskii / L. stenocephala, e.g. 'The Rocket') carry bright/clear yellow spikes, while the dentata cultivars ('Desdemona', 'Othello', 'Britt Marie Crawford') carry large orange to orange-yellow daisies that a gardener genuinely reads as orange. Both are trade staples for shade/bog borders, so a home gardener really does encounter both. I dropped the first pass's ""gold"" as a color  -  it is just a shade of the yellow already stored (#f5b400 is itself a golden yellow), not a distinct color. Also note the dark-leaved dentata cultivars are bought largely for their burgundy/bronze FOLIAGE, so flower color is a secondary selling point for much of the genus."
sea-holly,Sea Holly,Eryngium,Eryngium,Perennial,blue,blue; silvery-white; green,probably-multi,0.8,medium,YES,"Eryngium is iconic steely blue (E. planum, E. x zabelii 'Big Blue'), but silver-white (E. giganteum) and greenish species (E. yuccifolium, E. agavifolium) are also sold; blue is the right default, yet color range and even lifecycle differ across species. | The silver-white sea holly commonly sold under the same name (Eryngium giganteum, 'Miss Willmott's Ghost') is a taller monocarpic biennial that dies after flowering and self-sows, unlike the perennial steely-blue types (E. planum, E. x zabelii). A silver form can signal a genuinely different plant with different lifespan/size, arguably its own entry. | The ornamental ""color"" is the spiny bract-collar and cone, not petals, and the iconic ""blue"" (E. planum, E. x zabelii 'Big Blue'/'Blue Glitter', E. bourgatii) is really a metallic silver-blue that grades into silver, so blue and silvery-white are closer to two ends of one continuum than fully independent colors. Silver-white is still genuinely in commerce via the well-known E. giganteum 'Miss Willmott's Ghost' and E. planum 'White Glitter', but those skew to specialist perennial nurseries. ""Green"" is the weakest color: it comes from DIFFERENT species (E. yuccifolium / rattlesnake master, E. agavifolium, E. eburneum) whose heads are greenish-white and which are often grown for architectural form and sold at native/specialist nurseries, not as the blue border perennial. The genus entry also lumps species with different lifecycles (E. giganteum monocarpic/biennial vs E. planum perennial). Net: multi-color across the genus is real, but blue is overwhelmingly the default an ordinary gardener meets at a normal garden center; keep blue primary and treat silver-white and green as species-dependent secondaries rather than shelf-mates."
toad-lily,Toad Lily,Tricyrtis,Tricyrtis,Perennial,purple,purple; white,probably-multi,0.65,medium,,"Common garden Tricyrtis (T. hirta, T. formosana) are lilac-purple spotted on white, but white-flowered forms ('White Towers') and genuinely yellow species (T. flava, T. latifolia) reach better shade-plant nurseries. A shade specialist, so availability is moderate. | Toad lily is a shade specialist, not a big-box garden-center staple, so its color range lives mostly in better/specialist nurseries rather than ordinary garden centers. The signature commercial form (T. hirta, T. formosana, and hybrids like 'Tojen') is a white-to-pale ground heavily spotted purple-maroon, which the stored lilac-purple reads well. The one genuinely-available second color in the general shade-perennial trade is pure white ('White Towers', 'Shirohotogisu', f. albescens), so I keep purple + white. I dropped the first pass's ""yellow"": it is real botany but belongs to distinct specialist/collector species (T. flava, T. latifolia, T. lasiocarpa, T. macrantha) that ordinary gardeners rarely meet - counting it confuses the mainstream hirta/formosana purples with different species. Also note the spotted pattern means ""purple"" and ""white"" partly describe the same flower's spots vs. ground, not two cleanly separate color forms."
trillium,Trillium,Trillium,Trillium,Perennial,white,white; maroon; yellow,probably-multi,0.8,low,,"The iconic white Trillium grandiflorum dominates, but the genus includes deep maroon-red species (T. erectum, T. cuneatum, T. sessile) and yellow (T. luteum) sold by native/woodland nurseries; availability is moderate and big-box shoppers mostly see only white, so it is a genus with real range but narrow mainstream exposure. | The genus genuinely spans distinct colors carried by whole common species, not rare sports: white (T. grandiflorum, aging to pink), deep maroon/red-purple (the sessile ""toadshade"" group  -  T. cuneatum, T. sessile, T. recurvatum, plus pedicellate T. erectum), and clear yellow (T. luteum). So multi-color is real and defensible. BUT this is a woodland-native specialist plant, not a mainstream garden-center perennial: an ordinary big-box shopper mostly sees only white grandiflorum, and the maroon/yellow range comes from native-plant, woodland-shade, and fall mail-order rhizome nurseries. Two flags: the sessile toadshades are partly grown for mottled foliage and have stalkless flowers (a different look from the iconic white), and much traded Trillium is slow to propagate. Storing only white is understandable (grandiflorum is the icon) but undersells the genus; if a single color must be kept, white is the safest default."
boston-fern,Boston Fern,Nephrolepis exaltata,Nephrolepis,Fern,green foliage,,foliage-plant-na,0.95,high,,Nephrolepis exaltata is a spore-bearing fern grown for bright green fronds; it does not flower and foliage is uniformly green (rare variegated novelties like 'Tiger Fern' aside).
echeveria,Echeveria,Echeveria,Echeveria,Perennial,red,,foliage-plant-na,0.95,high,,"Echeveria is grown for its succulent rosette, whose color varies enormously (blue-grey, green, lavender, pink, near-black, red-margined, variegated) and is exactly what shoppers pick between; the arching bloom stalks are a minor bell-shaped coral-orange-to-yellow, so the stored 'red' flower color is not what defines the plant."
hens-and-chicks,Hens and Chicks,Sempervivum,Sempervivum,Perennial,green foliage,red; burgundy; purple; blue-green; bronze; chartreuse,foliage-plant-na,0.95,high,,"Sempervivum is grown for its rosette foliage; it is monocarpic and flowers only rarely (star-shaped pink flowers) before that rosette dies, so flower color is irrelevant. Foliage varies enormously - green, red, burgundy, purple, blue, bronze, chartreuse, often multi-toned/tipped - and shoppers absolutely pick by rosette color. 'Green foliage' is a fair generic default but understates the range."
basil,Basil,Ocimum basilicum,Ocimum,Herb,green foliage,,foliage-plant-na,0.92,high,,"Ocimum basilicum is a culinary herb grown for leaves and typically kept from flowering. Foliage does vary meaningfully: green sweet/Genovese types vs purple-leaved forms ('Purple Ruffles', 'Dark Opal', 'Amethyst'), so leaf color is a genuine shopper choice even though bloom is irrelevant. Green is the correct default. Size differences (small Greek/globe basil vs large Genovese) track type, not color, so no separate color-driven entry is needed."
cinnamon-fern,Cinnamon Fern,Osmundastrum cinnamomeum,Osmundastrum,Fern,green foliage,,foliage-plant-na,0.98,medium,,"No flowers. The 'cinnamon' name refers to the brown fertile spore fronds, not a flower color; the sterile foliage is green. Single foliage color."
holly-fern,Holly Fern,Cyrtomium falcatum,Cyrtomium,Fern,green foliage,,foliage-plant-na,0.98,medium,,"No flowers; Cyrtomium falcatum is grown for its glossy dark-green, holly-like leathery fronds. Single foliage color."
lady-fern,Lady Fern,Athyrium filix-femina,Athyrium,Fern,green foliage,,foliage-plant-na,0.98,medium,,"Ferns reproduce by spores and have no flowers; Athyrium filix-femina is grown for its finely divided green fronds. The colorful silver/burgundy 'painted' ferns are the separate species A. niponicum, not this one, so this reads as plain green foliage."
royal-fern,Royal Fern,Osmunda regalis,Osmunda,Fern,green foliage,,foliage-plant-na,0.98,medium,,"Spore-bearing fern with no flowers; green fronds. Young growth can flush bronze and 'Purpurascens' has purplish new fronds, but that is a minor foliage-tint variant, not a flower color, and the plant reads green."
ginkgo,Ginkgo,Ginkgo biloba,Ginkgo,Tree,green foliage,,foliage-plant-na,0.97,medium,,"Ginkgo is dioecious with inconspicuous, non-showy reproductive structures; it is grown purely for its fan-shaped foliage and a uniform brilliant golden-yellow fall color. There is no flower-color choice; buyers pick male cultivars for form and fall color, not blooms."
agave,Agave,Agave,Agave,Perennial,grey foliage,,foliage-plant-na,0.95,medium,,"Agave is a monocarpic architectural succulent grown entirely for its rosette; it flowers once after many years then dies, so bloom is irrelevant. Foliage ranges from blue-grey to green to yellow/white variegated, which is the real thing shoppers choose between."
christmas-fern,Christmas Fern,Polystichum acrostichoides,Polystichum,Fern,green foliage,,foliage-plant-na,0.95,medium,,Polystichum acrostichoides is an evergreen native fern grown for its green fronds; non-flowering with a single green foliage color.
dusty-miller,Dusty Miller,Jacobaea maritima,Jacobaea,Annual,silver/grey foliage,,foliage-plant-na,0.95,medium,,"Jacobaea maritima (syn. Senecio cineraria) is grown purely for its silver-grey felted foliage; the small yellow summer daisies are insignificant and usually sheared off. Foliage is uniformly silver across cultivars (differing only in leaf lacing, 'Silver Dust' vs 'Cirrus'), so there is no color choice to make."
ostrich-fern,Ostrich Fern,Matteuccia struthiopteris,Matteuccia,Fern,green foliage,,foliage-plant-na,0.95,medium,,Matteuccia struthiopteris is grown for its green shuttlecock fronds and edible fiddleheads; non-flowering with a single green foliage color.
parsley,Parsley,Petroselinum crispum,Petroselinum,Herb,green foliage,,foliage-plant-na,0.95,medium,,"Petroselinum crispum is a leaf herb harvested before it blooms; foliage is uniformly green. The only real distinction is form (curly 'crispum' vs flat-leaf Italian 'neapolitanum'), which is a leaf shape, not a color, so there is no flower- or foliage-color range for a shopper to pick."
red-maple,Red Maple,Acer rubrum,Acer,Tree,green foliage,,foliage-plant-na,0.95,medium,,"Acer rubrum is a shade tree grown for form and brilliant red autumn color; summer foliage is uniformly green (the 'red' refers to its early-spring flowers, samaras and fall color, not a leaf-color choice). Unlike Japanese maples in the same genus, this species has no summer leaf-color variants, so flower color is irrelevant to design use."
river-birch,River Birch,Betula nigra,Betula,Tree,green foliage,,foliage-plant-na,0.95,medium,,"Betula nigra's ornamental value is its exfoliating salmon-to-cream peeling bark; foliage is plain green in summer and yellow in fall, with no flower-color choice for a shopper. A foliage/bark tree, flowers (catkins) are incidental."
sugar-maple,Sugar Maple,Acer saccharum,Acer,Tree,green foliage,,foliage-plant-na,0.95,medium,,Acer saccharum is grown for its canopy and orange-yellow-red fall display; summer foliage is uniformly green with no shopper-facing leaf-color forms. Not a flowering-interest plant.
weeping-willow,Weeping Willow,Salix babylonica,Salix,Tree,green foliage,,foliage-plant-na,0.95,medium,,Salix babylonica bears only inconspicuous yellow-green catkins and is selected entirely for its weeping form and green foliage. No flower-color range exists and foliage color is uniform green.
linden,Littleleaf Linden,Tilia cordata,Tilia,Tree,green foliage,,foliage-plant-na,0.92,medium,,"Tilia cordata has small fragrant pale-yellow flowers valued for scent and pollinators, not color, and comes in no flower-color forms. It is bought as a uniform-green shade/street tree; foliage color does not vary meaningfully."
autumn-fern,Autumn Fern,Dryopteris erythrosora,Dryopteris,Fern,green foliage,coppery-bronze new growth,foliage-plant-na,0.9,medium,,"Dryopteris erythrosora ('erythro-' = red) is named for its coppery-bronze new fronds that mature to green; non-flowering, but its signature seasonal copper flush is the selling point, so stored 'green' captures the mature color but misses what shoppers buy it for."
blue-oat-grass,Blue Oat Grass,Helictotrichon sempervirens,Helictotrichon,Grass,yellow,,foliage-plant-na,0.9,medium,,"Helictotrichon sempervirens is bought for its steel-blue-grey evergreen foliage mound; the oat-like inflorescences are a single straw/golden-tan and secondary. The stored yellow fairly describes the panicle, but the plant's defining and only real color feature is the uniform blue foliage, not a flower-color range."
honeylocust,Honeylocust,Gleditsia triacanthos,Gleditsia,Tree,green foliage,,foliage-plant-na,0.9,medium,,"Gleditsia triacanthos flowers are tiny, greenish and insignificant; it is a foliage/shade tree. Foliage DOES vary by cultivar (golden 'Sunburst', bronze-red 'Ruby Lace'), which is a real garden-center distinction, but flower color is a non-factor and mature size is similar across those forms."
japanese-painted-fern,Japanese Painted Fern,Athyrium niponicum,Athyrium,Fern,teal foliage,burgundy/wine; silvery-white; green,foliage-plant-na,0.9,medium,,"Athyrium niponicum var. pictum genuinely varies in frond color across garden-center cultivars: silvery blue-green (the 'teal' default), deep burgundy/wine ('Burgundy Lace', 'Regal Red') and greener 'Ghost'-type hybrids. Non-flowering, but foliage color is a real shopper choice, so 'teal' is only one of several forms."
maidenhair-fern,Maidenhair Fern,Adiantum,Adiantum,Fern,green foliage,,foliage-plant-na,0.9,medium,,Adiantum is grown for delicate green fronds (some species flush coppery-pink when new but mature green); non-flowering and effectively one foliage color.
lambs-ear,Lamb's Ear,Stachys byzantina,Stachys,Perennial,purple,,foliage-plant-na,0.95,low,,"Stachys byzantina is grown for its silver, felted foliage, not its bloom; the mauve-pink flower spikes are incidental and cultivars like 'Silver Carpet' and 'Big Ears'/'Helene von Stein' barely or never flower. Foliage is uniformly silver-grey with only minor cultivar variation."
foamy-bells,Foamy Bells,Heucherella,Heucherella,Perennial,white,,foliage-plant-na,0.92,low,,"x Heucherella (Heuchera x Tiarella) is grown for foliage, which varies enormously (amber, caramel, red, chartreuse with dark veining: 'Buttered Rum', 'Sweet Tea', 'Stoplight'). The airy flowers are incidental and only white to pale blush, so flower color is irrelevant to buyers, who select intensely on leaf color instead."
wild-ginger,Wild Ginger,Asarum,Asarum,Perennial,green foliage,,foliage-plant-na,0.92,low,,"Asarum is a shade foliage groundcover; its flowers are small brown-maroon jugs hidden at soil level and insignificant to the gardener. Foliage is usually plain green, though some species (e.g. A. splendens) are silver-mottled, which is the only meaningful color variation."
douglas-fir,Douglas Fir,Pseudotsuga menziesii,Pseudotsuga,Conifer,green foliage,,foliage-plant-na,0.9,low,YES,"Conifer with cones, not flowers; foliage ranges from green (coastal) to glaucous blue-green (Rocky Mountain var. glauca). It is a large forest tree rather than a typical planting-bed purchase for a non-expert home gardener. | The blue-green Rocky Mountain form (var. glauca) is genuinely hardier (roughly USDA zone 4), slower-growing, and more compact/narrow, while the green coastal form (var. menziesii) is a massive, fast timber tree hardy only to about zone 6. The glaucous-blue foliage tracks that different provenance, so a blue Douglas fir could warrant its own catalog entry rather than a color note."
lemon-balm,Lemon Balm,Melissa officinalis,Melissa,Herb,green foliage,,foliage-plant-na,0.9,low,,"Melissa officinalis is grown for lemon-scented foliage; its flowers are insignificant tiny whitish blooms nobody buys it for. Foliage does vary - golden ('Aurea', 'All Gold') and variegated forms sell alongside plain green - so the green-foliage default is fair but not the only leaf option."
brunnera,Brunnera,Brunnera macrophylla,Brunnera,Perennial,blue,,single-color,0.9,high,,"Brunnera macrophylla flowers are always forget-me-not blue (the rare white 'Betty Bowring' aside), so flower color is genuinely single. However, modern cultivar selection is driven by silver/variegated FOLIAGE ('Jack Frost', 'Looking Glass', 'Variegata'), not blooms; the high shopper interest is for leaves, and mature size is similar across those foliage forms."
ladys-mantle,Lady's Mantle,Alchemilla mollis,Alchemilla,Perennial,green,,single-color,0.95,medium,,"Alchemilla mollis produces only frothy chartreuse/yellow-green flower sprays; there is no other flower color in cultivation, so the stored 'green' (chartreuse) is accurate and the sole form."
snow-in-summer,Snow-in-Summer,Cerastium tomentosum,Cerastium,Perennial,white,,single-color,0.95,medium,,"Cerastium tomentosum bears only white flowers over silver foliage; no other flower color exists in cultivation. Even the foliage is uniformly silver-grey, so nothing about the color varies."
sweet-woodruff,Sweet Woodruff,Galium odoratum,Galium,Perennial,white,,single-color,0.95,medium,,Galium odoratum produces only tiny white star-shaped flowers; there are no other flower-color forms in cultivation. Stored white is honestly the sole color for this species.
bluestar,Bluestar,Amsonia,Amsonia,Perennial,blue,,single-color,0.93,medium,,"Every cultivated Amsonia bears the same pale steel-blue star flowers; the genus has no other flower color. It is also prized for golden fall foliage (esp. threadleaf A. hubrichtii), but that is a seasonal foliage feature, not a purchase-time flower-color choice."
goatsbeard,Goatsbeard,Aruncus dioicus,Aruncus,Perennial,white,,single-color,0.93,medium,,"All Aruncus bloom creamy white, from the giant A. dioicus to the dwarf A. aethusifolius. The large size difference tracks species, not color, since every form is white, so it is not a color-driven size case."
